	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
101-150	0	2	1	2	0	0	2	5	4	3	5	2
151-200	2	0	2	0	0	0	1	3	3	2	3	2
201-500	3	2	3	0	0	0	2	2	0	2	0	1
501-1000	0	0	2	0	0	0	0	0	0	3	0	0
'1001+	1	0	1	0	0	0	0	0	0	2	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	18.3	20.0	20.5	22.3	26.0	23.0	27.0	25.4	27.4	45.0	29.2	31.5
'1	63.9	62.9	62.5	60.5	57.5	60.1	57.2	58.0	57.2	42.5	54.8	51.7
'2	11.5	11.2	11.2	11.4	11.0	11.3	10.4	11.0	10.2	8.4	10.6	10.6
'3	3.3	3.1	3.1	3.2	3.2	3.2	2.9	3.1	2.9	2.4	2.9	3.4
'4	1.2	1.1	1.2	1.1	1.0	1.1	1.0	1.1	1.0	0.9	1.1	1.3
'5	0.6	0.5	0.5	0.5	0.4	0.5	0.5	0.5	0.4	0.3	0.5	0.6
'6	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.2	0.2	0.3	0.3
'7	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.1	0.1	0.1	0.2	0.2
'8	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1
'9	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0
'10	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
11-15	0.2	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
16-20	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
21-50	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.1
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0
'1	21824	21496	21345	20676	19642	20550	19536	19831	19559	14504	18712	17662
'2	7870	7660	7626	7812	7486	7704	7080	7522	6980	5738	7216	7226
'3	3387	3156	3186	3315	3321	3240	3015	3189	2937	2427	2940	3501
'4	1656	1464	1608	1480	1416	1456	1416	1488	1320	1172	1548	1732
'5	940	825	860	830	765	800	790	775	730	555	790	1070
'6	684	648	648	522	624	654	528	510	462	342	630	666
'7	455	448	399	385	322	455	462	336	315	224	399	406
'8	392	304	336	328	344	272	424	344	296	152	256	232
'9	297	207	234	252	198	243	243	162	171	117	207	108
'10	280	310	140	100	120	160	220	200	170	160	130	150
11-15	868	1048	582	688	520	513	553	654	553	292	510	356
16-20	320	611	330	343	146	264	282	280	226	74	317	229
21-50	1009	952	691	551	244	251	705	689	771	533	1002	881
51-100	417	444	804	287	149	140	616	230	901	445	955	951
101-150	0	277	136	255	0	0	240	614	457	357	617	242
151-200	362	0	355	0	0	0	159	509	476	344	491	383
201-500	720	652	767	0	0	0	847	791	0	613	0	210
501-1000	0	0	1360	0	0	0	0	0	0	1894	0	0
'1001+	1184	0	1114	0	0	0	0	0	0	4549	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	49.7	52.5	49.3	51.5	50.5	54.8	47.6	48.4	51.0	37.9	48.6	46.6
'2	17.9	18.7	17.6	19.5	19.3	20.5	17.3	18.4	18.2	15.0	18.8	19.1
'3	7.7	7.7	7.4	8.3	8.5	8.6	7.3	7.8	7.7	6.3	7.6	9.2
'4	3.8	3.6	3.7	3.7	3.6	3.9	3.5	3.6	3.4	3.1	4.0	4.6
'5	2.1	2.0	2.0	2.1	2.0	2.1	1.9	1.9	1.9	1.4	2.1	2.8
'6	1.6	1.6	1.5	1.3	1.6	1.7	1.3	1.2	1.2	0.9	1.6	1.8
'7	1.0	1.1	0.9	1.0	0.8	1.2	1.1	0.8	0.8	0.6	1.0	1.1
'8	0.9	0.7	0.8	0.8	0.9	0.7	1.0	0.8	0.8	0.4	0.7	0.6
'9	0.7	0.5	0.5	0.6	0.5	0.6	0.6	0.4	0.4	0.3	0.5	0.3
'10	0.6	0.8	0.3	0.2	0.3	0.4	0.5	0.5	0.4	0.4	0.3	0.4
11-15	2.0	2.6	1.3	1.7	1.3	1.4	1.3	1.6	1.4	0.8	1.3	0.9
16-20	0.7	1.5	0.8	0.9	0.4	0.7	0.7	0.7	0.6	0.2	0.8	0.6
21-50	2.3	2.3	1.6	1.4	0.6	0.7	1.7	1.7	2.0	1.4	2.6	2.3
51-100	0.9	1.1	1.9	0.7	0.4	0.4	1.5	0.6	2.3	1.2	2.5	2.5
101-150	0.0	0.7	0.3	0.6	0.0	0.0	0.6	1.5	1.2	0.9	1.6	0.6
151-200	0.8	0.0	0.8	0.0	0.0	0.0	0.4	1.2	1.2	0.9	1.3	1.0
201-500	1.6	1.6	1.8	0.0	0.0	0.0	2.1	1.9	0.0	1.6	0.0	0.6
501-1000	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	4.9	0.0	0.0
'1001+	2.7	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	11.9	0.0	0.0
