	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
OG0034229	Ghe01G24450											
OG0034230	Ghe01G24930											
OG0034231	Ghe01G26000											
OG0034232	Ghe01G26510											
OG0034233	Ghe01G27580											
OG0034234	Ghe01G27850											
OG0034235	Ghe01G29330											
OG0034236	Ghe02G00680											
OG0034237	Ghe02G01830											
OG0034238	Ghe02G02010											
OG0034239	Ghe02G02120											
OG0034240	Ghe02G02200											
OG0034241	Ghe02G03900											
OG0034242	Ghe02G04380											
OG0034243	Ghe02G05190											
OG0034244	Ghe02G05200											
OG0034245	Ghe02G05310											
OG0034246	Ghe02G05740											
OG0034247	Ghe02G05790											
OG0034248	Ghe02G06480											
OG0034249	Ghe02G07630											
OG0034250	Ghe02G07770											
OG0034251	Ghe02G08250											
OG0034252	Ghe02G08260											
OG0034253	Ghe02G08370											
OG0034254	Ghe02G08470											
OG0034255	Ghe02G08510											
OG0034256	Ghe02G09030											
OG0034257	Ghe02G09210											
OG0034258	Ghe02G09350											
OG0034259	Ghe02G10350											
OG0034260	Ghe02G10990											
OG0034261	Ghe02G11630											
OG0034262	Ghe02G12080											
OG0034263	Ghe02G12390											
OG0034264	Ghe02G12920											
OG0034265	Ghe02G13090											
OG0034266	Ghe02G13130											
OG0034267	Ghe02G13170											
OG0034268	Ghe02G13500											
OG0034269	Ghe02G13610											
OG0034270	Ghe02G13740											
OG0034271	Ghe02G13970											
OG0034272	Ghe02G14850											
OG0034273	Ghe02G14930											
OG0034274	Ghe02G15060											
OG0034275	Ghe02G15370											
OG0034276	Ghe02G15900											
OG0034277	Ghe02G15920											
OG0034278	Ghe02G15980											
OG0034279	Ghe02G16020											
OG0034280	Ghe02G16120											
OG0034281	Ghe02G16690											
OG0034282	Ghe02G17170											
OG0034283	Ghe02G17530											
OG0034284	Ghe02G17880											
OG0034285	Ghe02G18270											
OG0034286	Ghe02G18320											
OG0034287	Ghe02G18550											
OG0034288	Ghe02G18890											
OG0034289	Ghe02G19060											
OG0034290	Ghe02G20230											
OG0034291	Ghe02G20240											
OG0034292	Ghe02G20270											
OG0034293	Ghe02G21170											
OG0034294	Ghe02G21180											
OG0034295	Ghe03G00420											
OG0034296	Ghe03G02420											
OG0034297	Ghe03G02630											
OG0034298	Ghe03G03990											
OG0034299	Ghe03G04350											
OG0034300	Ghe03G04610											
OG0034301	Ghe03G04670											
OG0034302	Ghe03G05260											
OG0034303	Ghe03G05350											
OG0034304	Ghe03G06310											
OG0034305	Ghe03G06980											
OG0034306	Ghe03G07130											
OG0034307	Ghe03G08300											
OG0034308	Ghe03G08840											
OG0034309	Ghe03G08930											
OG0034310	Ghe03G09050											
OG0034311	Ghe03G10050											
OG0034312	Ghe03G10240											
OG0034313	Ghe03G10540											
OG0034314	Ghe03G11560											
OG0034315	Ghe03G11920											
OG0034316	Ghe03G12250											
OG0034317	Ghe03G12620											
OG0034318	Ghe03G12890											
OG0034319	Ghe03G13340											
OG0034320	Ghe03G13360											
OG0034321	Ghe03G13780											
OG0034322	Ghe03G13960											
OG0034323	Ghe03G14010											
OG0034324	Ghe03G14760											
OG0034325	Ghe03G15100											
OG0034326	Ghe03G15190											
OG0034327	Ghe03G15240											
OG0034328	Ghe03G15320											
OG0034329	Ghe03G15780											
OG0034330	Ghe03G15980											
OG0034331	Ghe03G16110											
OG0034332	Ghe03G17030											
OG0034333	Ghe03G17180											
OG0034334	Ghe03G17260											
OG0034335	Ghe03G17740											
OG0034336	Ghe03G17780											
OG0034337	Ghe03G18050											
OG0034338	Ghe03G18290											
OG0034339	Ghe03G18970											
OG0034340	Ghe03G19100											
OG0034341	Ghe03G19140											
OG0034342	Ghe03G19150											
OG0034343	Ghe03G19980											
OG0034344	Ghe03G20180											
OG0034345	Ghe03G20860											
OG0034346	Ghe03G21420											
OG0034347	Ghe03G21460											
OG0034348	Ghe03G21930											
OG0034349	Ghe03G21950											
OG0034350	Ghe03G22080											
OG0034351	Ghe03G22490											
OG0034352	Ghe03G25460											
OG0034353	Ghe03G26090											
OG0034354	Ghe03G27300											
OG0034355	Ghe03G27690											
OG0034356	Ghe03G28060											
OG0034357	Ghe03G28070											
OG0034358	Ghe03G28100											
OG0034359	Ghe03G28140											
OG0034360	Ghe03G28190											
OG0034361	Ghe03G28200											
OG0034362	Ghe03G28230											
OG0034363	Ghe03G28840											
OG0034364	Ghe03G29000											
OG0034365	Ghe03G29580											
OG0034366	Ghe03G30260											
OG0034367	Ghe03G30350											
OG0034368	Ghe03G30440											
OG0034369	Ghe03G30640											
OG0034370	Ghe04G00400											
OG0034371	Ghe04G00480											
OG0034372	Ghe04G00780											
OG0034373	Ghe04G00820											
OG0034374	Ghe04G01590											
OG0034375	Ghe04G02650											
OG0034376	Ghe04G02910											
OG0034377	Ghe04G03340											
OG0034378	Ghe04G03350											
OG0034379	Ghe04G03500											
OG0034380	Ghe04G03510											
OG0034381	Ghe04G04040											
OG0034382	Ghe04G04060											
OG0034383	Ghe04G04070											
OG0034384	Ghe04G04120											
OG0034385	Ghe04G04960											
OG0034386	Ghe04G05050											
OG0034387	Ghe04G05080											
OG0034388	Ghe04G05350											
OG0034389	Ghe04G05450											
OG0034390	Ghe04G05880											
OG0034391	Ghe04G06100											
OG0034392	Ghe04G07570											
OG0034393	Ghe04G08040											
OG0034394	Ghe04G08490											
OG0034395	Ghe04G08590											
OG0034396	Ghe04G08690											
OG0034397	Ghe04G08700											
OG0034398	Ghe04G09260											
OG0034399	Ghe04G09480											
OG0034400	Ghe04G10300											
OG0034401	Ghe04G10320											
OG0034402	Ghe04G10680											
OG0034403	Ghe04G11040											
OG0034404	Ghe04G11070											
OG0034405	Ghe04G11100											
OG0034406	Ghe04G11590											
OG0034407	Ghe04G11760											
OG0034408	Ghe04G12420											
OG0034409	Ghe04G13210											
OG0034410	Ghe04G13370											
OG0034411	Ghe04G13650											
OG0034412	Ghe04G14000											
OG0034413	Ghe04G14410											
OG0034414	Ghe04G15070											
OG0034415	Ghe04G15190											
OG0034416	Ghe04G15520											
OG0034417	Ghe04G15820											
OG0034418	Ghe04G17700											
OG0034419	Ghe04G17770											
OG0034420	Ghe04G18400											
OG0034421	Ghe04G18420											
OG0034422	Ghe04G19060											
OG0034423	Ghe04G19080											
OG0034424	Ghe04G19110											
OG0034425	Ghe04G19280											
OG0034426	Ghe04G20100											
OG0034427	Ghe04G20560											
OG0034428	Ghe04G20620											
OG0034429	Ghe04G20650											
OG0034430	Ghe04G20930											
OG0034431	Ghe04G20940											
OG0034432	Ghe04G20950											
OG0034433	Ghe04G21520											
OG0034434	Ghe04G21750											
OG0034435	Ghe04G21960											
OG0034436	Ghe04G22420											
OG0034437	Ghe04G22750											
OG0034438	Ghe04G22900											
OG0034439	Ghe04G22920											
OG0034440	Ghe04G23540											
OG0034441	Ghe04G23730											
OG0034442	Ghe04G24260											
OG0034443	Ghe04G24290											
OG0034444	Ghe04G24380											
OG0034445	Ghe04G24390											
OG0034446	Ghe04G25120											
OG0034447	Ghe05G01600											
OG0034448	Ghe05G04000											
OG0034449	Ghe05G04400											
OG0034450	Ghe05G04440											
OG0034451	Ghe05G04450											
OG0034452	Ghe05G04880											
OG0034453	Ghe05G05380											
OG0034454	Ghe05G05430											
OG0034455	Ghe05G05550											
OG0034456	Ghe05G06000											
OG0034457	Ghe05G06260											
OG0034458	Ghe05G06270											
OG0034459	Ghe05G06970											
OG0034460	Ghe05G08490											
OG0034461	Ghe05G09800											
OG0034462	Ghe05G10510											
OG0034463	Ghe05G10940											
OG0034464	Ghe05G11030											
OG0034465	Ghe05G11120											
OG0034466	Ghe05G11510											
OG0034467	Ghe05G11960											
OG0034468	Ghe05G14490											
OG0034469	Ghe05G14580											
OG0034470	Ghe05G15090											
OG0034471	Ghe05G16670											
OG0034472	Ghe05G16740											
OG0034473	Ghe05G17010											
OG0034474	Ghe05G17780											
OG0034475	Ghe05G20610											
OG0034476	Ghe05G20650											
OG0034477	Ghe05G20740											
OG0034478	Ghe05G21540											
OG0034479	Ghe05G21570											
OG0034480	Ghe05G22170											
OG0034481	Ghe05G22950											
OG0034482	Ghe05G23580											
OG0034483	Ghe05G24960											
OG0034484	Ghe05G27840											
OG0034485	Ghe05G28400											
OG0034486	Ghe05G28450											
OG0034487	Ghe05G28490											
OG0034488	Ghe05G28830											
OG0034489	Ghe05G28880											
OG0034490	Ghe05G29460											
OG0034491	Ghe05G29480											
OG0034492	Ghe05G29890											
OG0034493	Ghe05G29990											
OG0034494	Ghe05G30440											
OG0034495	Ghe05G30650											
OG0034496	Ghe05G31970											
OG0034497	Ghe05G32250											
OG0034498	Ghe05G32330											
OG0034499	Ghe05G32380											
OG0034500	Ghe05G32390											
OG0034501	Ghe05G32810											
OG0034502	Ghe05G32940											
OG0034503	Ghe05G33180											
OG0034504	Ghe05G33240											
OG0034505	Ghe05G33810											
OG0034506	Ghe05G34040											
OG0034507	Ghe05G34840											
OG0034508	Ghe05G35610											
OG0034509	Ghe05G35830											
OG0034510	Ghe05G35910											
OG0034511	Ghe05G35930											
OG0034512	Ghe05G36920											
OG0034513	Ghe05G37170											
OG0034514	Ghe05G37780											
OG0034515	Ghe05G38030											
OG0034516	Ghe05G38240											
OG0034517	Ghe05G38250											
OG0034518	Ghe05G38300											
OG0034519	Ghe05G38740											
OG0034520	Ghe05G39380											
OG0034521	Ghe05G39390											
OG0034522	Ghe05G39400											
OG0034523	Ghe05G39930											
OG0034524	Ghe05G40110											
OG0034525	Ghe05G40270											
OG0034526	Ghe05G40430											
OG0034527	Ghe05G40450											
OG0034528	Ghe05G40650											
OG0034529	Ghe05G40680											
OG0034530	Ghe05G40750											
OG0034531	Ghe05G40810											
OG0034532	Ghe05G41420											
OG0034533	Ghe05G41450											
OG0034534	Ghe05G42140											
OG0034535	Ghe05G42470											
OG0034536	Ghe05G42650											
OG0034537	Ghe05G43170											
OG0034538	Ghe05G43400											
OG0034539	Ghe05G43770											
OG0034540	Ghe05G44200											
OG0034541	Ghe05G44250											
OG0034542	Ghe05G45300											
OG0034543	Ghe05G45320											
OG0034544	Ghe05G45400											
OG0034545	Ghe05G45520											
OG0034546	Ghe06G00920											
OG0034547	Ghe06G01680											
OG0034548	Ghe06G03260											
OG0034549	Ghe06G03420											
OG0034550	Ghe06G05090											
OG0034551	Ghe06G05460											
OG0034552	Ghe06G06810											
OG0034553	Ghe06G07010											
OG0034554	Ghe06G07270											
OG0034555	Ghe06G07840											
OG0034556	Ghe06G08030											
OG0034557	Ghe06G08040											
OG0034558	Ghe06G08570											
OG0034559	Ghe06G08910											
OG0034560	Ghe06G09350											
OG0034561	Ghe06G09600											
OG0034562	Ghe06G10520											
OG0034563	Ghe06G10570											
OG0034564	Ghe06G10760											
OG0034565	Ghe06G10820											
OG0034566	Ghe06G10980											
OG0034567	Ghe06G11610											
OG0034568	Ghe06G11810											
OG0034569	Ghe06G12000											
OG0034570	Ghe06G12550											
OG0034571	Ghe06G12780											
OG0034572	Ghe06G12930											
OG0034573	Ghe06G12980											
OG0034574	Ghe06G14590											
OG0034575	Ghe06G16040											
OG0034576	Ghe06G16410											
OG0034577	Ghe06G16630											
OG0034578	Ghe06G16750											
OG0034579	Ghe06G16830											
OG0034580	Ghe06G17000											
OG0034581	Ghe06G17040											
OG0034582	Ghe06G17470											
OG0034583	Ghe06G20480											
OG0034584	Ghe06G20760											
OG0034585	Ghe06G21360											
OG0034586	Ghe06G22250											
OG0034587	Ghe06G23020											
OG0034588	Ghe06G23200											
OG0034589	Ghe06G23510											
OG0034590	Ghe06G23560											
OG0034591	Ghe06G23570											
OG0034592	Ghe06G27000											
OG0034593	Ghe06G27020											
OG0034594	Ghe06G27030											
OG0034595	Ghe06G27270											
OG0034596	Ghe07G01510											
OG0034597	Ghe07G01750											
OG0034598	Ghe07G01820											
OG0034599	Ghe07G01900											
OG0034600	Ghe07G02240											
OG0034601	Ghe07G04300											
OG0034602	Ghe07G04440											
OG0034603	Ghe07G04590											
OG0034604	Ghe07G06840											
OG0034605	Ghe07G07350											
OG0034606	Ghe07G08440											
OG0034607	Ghe07G08550											
OG0034608	Ghe07G10030											
OG0034609	Ghe07G10670											
OG0034610	Ghe07G11820											
OG0034611	Ghe07G13870											
OG0034612	Ghe07G14030											
OG0034613	Ghe07G14600											
OG0034614	Ghe07G15040											
OG0034615	Ghe07G15710											
OG0034616	Ghe07G15800											
OG0034617	Ghe07G16690											
OG0034618	Ghe07G16730											
OG0034619	Ghe07G16950											
OG0034620	Ghe07G17000											
OG0034621	Ghe07G17490											
OG0034622	Ghe07G17970											
OG0034623	Ghe07G18400											
OG0034624	Ghe07G19280											
OG0034625	Ghe07G19320											
OG0034626	Ghe07G19390											
OG0034627	Ghe07G19430											
OG0034628	Ghe07G19710											
OG0034629	Ghe07G20110											
OG0034630	Ghe07G20880											
OG0034631	Ghe07G20930											
OG0034632	Ghe07G21730											
OG0034633	Ghe07G22140											
OG0034634	Ghe07G22580											
OG0034635	Ghe07G22590											
OG0034636	Ghe07G23290											
OG0034637	Ghe07G23440											
OG0034638	Ghe07G23930											
OG0034639	Ghe07G24340											
OG0034640	Ghe07G24380											
OG0034641	Ghe07G24610											
OG0034642	Ghe07G24850											
OG0034643	Ghe07G25020											
OG0034644	Ghe07G25250											
OG0034645	Ghe07G25390											
OG0034646	Ghe07G25400											
OG0034647	Ghe07G25850											
OG0034648	Ghe07G25870											
OG0034649	Ghe07G27890											
OG0034650	Ghe07G27940											
OG0034651	Ghe07G28490											
OG0034652	Ghe07G28520											
OG0034653	Ghe07G28530											
OG0034654	Ghe07G28550											
OG0034655	Ghe07G30210											
OG0034656	Ghe08G00600											
OG0034657	Ghe08G01540											
OG0034658	Ghe08G02190											
OG0034659	Ghe08G02260											
OG0034660	Ghe08G02280											
OG0034661	Ghe08G02300											
OG0034662	Ghe08G02730											
OG0034663	Ghe08G02750											
OG0034664	Ghe08G02870											
OG0034665	Ghe08G05960											
OG0034666	Ghe08G06000											
OG0034667	Ghe08G06520											
OG0034668	Ghe08G06720											
OG0034669	Ghe08G06730											
OG0034670	Ghe08G07010											
OG0034671	Ghe08G07140											
OG0034672	Ghe08G07310											
OG0034673	Ghe08G07530											
OG0034674	Ghe08G07830											
OG0034675	Ghe08G07940											
OG0034676	Ghe08G08030											
OG0034677	Ghe08G08070											
OG0034678	Ghe08G08430											
OG0034679	Ghe08G08800											
OG0034680	Ghe08G08920											
OG0034681	Ghe08G09360											
OG0034682	Ghe08G09630											
OG0034683	Ghe08G10060											
OG0034684	Ghe08G10260											
OG0034685	Ghe08G11040											
OG0034686	Ghe08G11090											
OG0034687	Ghe08G11330											
OG0034688	Ghe08G11830											
OG0034689	Ghe08G13280											
OG0034690	Ghe08G13800											
OG0034691	Ghe08G14330											
OG0034692	Ghe08G15010											
OG0034693	Ghe08G15400											
OG0034694	Ghe08G15410											
OG0034695	Ghe08G15640											
OG0034696	Ghe08G16410											
OG0034697	Ghe08G16540											
OG0034698	Ghe08G17370											
OG0034699	Ghe08G17600											
OG0034700	Ghe08G18960											
OG0034701	Ghe08G19750											
OG0034702	Ghe08G19930											
OG0034703	Ghe08G20100											
OG0034704	Ghe08G21620											
OG0034705	Ghe08G21920											
OG0034706	Ghe08G22570											
OG0034707	Ghe08G23080											
OG0034708	Ghe08G23150											
OG0034709	Ghe08G23910											
OG0034710	Ghe08G24880											
OG0034711	Ghe08G25370											
OG0034712	Ghe08G25400											
OG0034713	Ghe08G26100											
OG0034714	Ghe08G29400											
OG0034715	Ghe08G29520											
OG0034716	Ghe08G30690											
OG0034717	Ghe08G31530											
OG0034718	Ghe08G32460											
OG0034719	Ghe09G00010											
OG0034720	Ghe09G00540											
OG0034721	Ghe09G01820											
OG0034722	Ghe09G01850											
OG0034723	Ghe09G02030											
OG0034724	Ghe09G02170											
OG0034725	Ghe09G02400											
OG0034726	Ghe09G02520											
OG0034727	Ghe09G02760											
OG0034728	Ghe09G02820											
OG0034729	Ghe09G03360											
OG0034730	Ghe09G03370											
OG0034731	Ghe09G03680											
OG0034732	Ghe09G03750											
OG0034733	Ghe09G03880											
OG0034734	Ghe09G04410											
OG0034735	Ghe09G04420											
OG0034736	Ghe09G04460											
OG0034737	Ghe09G05060											
OG0034738	Ghe09G05160											
OG0034739	Ghe09G05580											
OG0034740	Ghe09G05810											
OG0034741	Ghe09G05920											
OG0034742	Ghe09G06530											
OG0034743	Ghe09G06690											
OG0034744	Ghe09G06720											
OG0034745	Ghe09G06790											
OG0034746	Ghe09G07770											
OG0034747	Ghe09G07780											
OG0034748	Ghe09G08470											
OG0034749	Ghe09G08820											
OG0034750	Ghe09G08930											
OG0034751	Ghe09G08940											
OG0034752	Ghe09G09410											
OG0034753	Ghe09G09460											
OG0034754	Ghe09G09530											
OG0034755	Ghe09G10090											
OG0034756	Ghe09G11930											
OG0034757	Ghe09G12640											
OG0034758	Ghe09G13140											
OG0034759	Ghe09G13360											
OG0034760	Ghe09G14250											
OG0034761	Ghe09G14880											
OG0034762	Ghe09G14910											
OG0034763	Ghe09G15390											
OG0034764	Ghe09G15880											
OG0034765	Ghe09G15920											
OG0034766	Ghe09G16140											
OG0034767	Ghe09G16670											
OG0034768	Ghe09G16770											
OG0034769	Ghe09G17050											
OG0034770	Ghe09G18820											
OG0034771	Ghe09G19270											
OG0034772	Ghe09G20200											
OG0034773	Ghe09G20220											
OG0034774	Ghe09G21980											
OG0034775	Ghe09G22400											
OG0034776	Ghe09G22630											
OG0034777	Ghe09G23240											
OG0034778	Ghe09G23760											
OG0034779	Ghe09G23880											
OG0034780	Ghe09G23890											
OG0034781	Ghe09G23940											
OG0034782	Ghe09G23960											
OG0034783	Ghe09G24740											
OG0034784	Ghe09G25030											
OG0034785	Ghe09G26740											
OG0034786	Ghe09G28010											
OG0034787	Ghe09G28870											
OG0034788	Ghe09G29210											
OG0034789	Ghe09G29490											
OG0034790	Ghe09G29890											
OG0034791	Ghe09G30340											
OG0034792	Ghe09G31050											
OG0034793	Ghe10G01470											
OG0034794	Ghe10G03050											
OG0034795	Ghe10G03700											
OG0034796	Ghe10G05280											
OG0034797	Ghe10G06000											
OG0034798	Ghe10G07110											
OG0034799	Ghe10G07130											
OG0034800	Ghe10G08920											
OG0034801	Ghe10G09630											
OG0034802	Ghe10G09810											
OG0034803	Ghe10G10380											
OG0034804	Ghe10G11340											
OG0034805	Ghe10G11680											
OG0034806	Ghe10G11800											
OG0034807	Ghe10G11830											
OG0034808	Ghe10G12310											
OG0034809	Ghe10G12350											
OG0034810	Ghe10G12460											
OG0034811	Ghe10G12810											
OG0034812	Ghe10G13640											
OG0034813	Ghe10G13880											
OG0034814	Ghe10G14080											
OG0034815	Ghe10G14330											
OG0034816	Ghe10G14430											
OG0034817	Ghe10G14510											
OG0034818	Ghe10G14730											
OG0034819	Ghe10G15640											
OG0034820	Ghe10G15850											
OG0034821	Ghe10G15950											
OG0034822	Ghe10G15960											
OG0034823	Ghe10G16600											
OG0034824	Ghe10G17320											
OG0034825	Ghe10G17860											
OG0034826	Ghe10G18230											
OG0034827	Ghe10G18440											
OG0034828	Ghe10G18500											
OG0034829	Ghe10G18600											
OG0034830	Ghe10G18900											
OG0034831	Ghe10G19910											
OG0034832	Ghe10G20560											
OG0034833	Ghe10G21190											
OG0034834	Ghe10G21270											
OG0034835	Ghe10G21940											
OG0034836	Ghe10G22160											
OG0034837	Ghe10G22370											
OG0034838	Ghe10G22720											
OG0034839	Ghe10G22920											
OG0034840	Ghe10G23370											
OG0034841	Ghe10G23410											
OG0034842	Ghe10G23690											
OG0034843	Ghe10G23910											
OG0034844	Ghe10G24520											
OG0034845	Ghe10G25260											
OG0034846	Ghe10G25930											
OG0034847	Ghe10G26390											
OG0034848	Ghe10G26600											
OG0034849	Ghe10G27430											
OG0034850	Ghe10G27650											
OG0034851	Ghe10G28210											
OG0034852	Ghe10G28220											
OG0034853	Ghe10G28760											
OG0034854	Ghe10G28780											
OG0034855	Ghe10G28940											
OG0034856	Ghe10G29090											
OG0034857	Ghe10G29460											
OG0034858	Ghe10G30450											
OG0034859	Ghe10G30520											
OG0034860	Ghe10G30680											
OG0034861	Ghe10G31410											
OG0034862	Ghe10G31480											
OG0034863	Ghe10G32010											
OG0034864	Ghe11G00530											
OG0034865	Ghe11G00600											
OG0034866	Ghe11G01220											
OG0034867	Ghe11G01270											
OG0034868	Ghe11G01290											
OG0034869	Ghe11G02180											
OG0034870	Ghe11G03100											
OG0034871	Ghe11G03500											
OG0034872	Ghe11G07200											
OG0034873	Ghe11G08170											
OG0034874	Ghe11G08730											
OG0034875	Ghe11G09790											
OG0034876	Ghe11G11120											
OG0034877	Ghe11G11700											
OG0034878	Ghe11G12260											
OG0034879	Ghe11G12280											
OG0034880	Ghe11G13570											
OG0034881	Ghe11G13920											
OG0034882	Ghe11G14570											
OG0034883	Ghe11G14940											
OG0034884	Ghe11G15100											
OG0034885	Ghe11G15120											
OG0034886	Ghe11G15710											
OG0034887	Ghe11G15760											
OG0034888	Ghe11G16980											
OG0034889	Ghe11G17220											
OG0034890	Ghe11G17690											
OG0034891	Ghe11G19460											
OG0034892	Ghe11G20260											
OG0034893	Ghe11G20390											
OG0034894	Ghe11G21370											
OG0034895	Ghe11G22510											
OG0034896	Ghe11G22630											
OG0034897	Ghe11G22750											
OG0034898	Ghe11G23330											
OG0034899	Ghe11G23350											
OG0034900	Ghe11G23550											
OG0034901	Ghe11G23580											
OG0034902	Ghe11G23660											
OG0034903	Ghe11G23700											
OG0034904	Ghe11G24120											
OG0034905	Ghe11G24220											
OG0034906	Ghe11G24660											
OG0034907	Ghe11G24850											
OG0034908	Ghe11G24860											
OG0034909	Ghe11G24920											
OG0034910	Ghe11G25010											
OG0034911	Ghe11G25430											
OG0034912	Ghe11G25470											
OG0034913	Ghe11G25530											
OG0034914	Ghe11G27030											
OG0034915	Ghe11G27210											
OG0034916	Ghe11G27380											
OG0034917	Ghe11G27450											
OG0034918	Ghe11G27770											
OG0034919	Ghe11G28230											
OG0034920	Ghe11G28640											
OG0034921	Ghe11G28730											
OG0034922	Ghe11G29040											
OG0034923	Ghe11G29060											
OG0034924	Ghe11G29500											
OG0034925	Ghe11G29680											
OG0034926	Ghe11G30050											
OG0034927	Ghe11G30590											
OG0034928	Ghe11G32250											
OG0034929	Ghe11G32520											
OG0034930	Ghe11G32580											
OG0034931	Ghe11G32660											
OG0034932	Ghe11G33050											
OG0034933	Ghe11G33610											
OG0034934	Ghe11G33620											
OG0034935	Ghe11G34430											
OG0034936	Ghe11G34500											
OG0034937	Ghe11G35670											
OG0034938	Ghe11G35920											
OG0034939	Ghe11G36200											
OG0034940	Ghe11G36270											
OG0034941	Ghe11G36570											
OG0034942	Ghe11G36750											
OG0034943	Ghe11G37030											
OG0034944	Ghe11G37100											
OG0034945	Ghe11G37210											
OG0034946	Ghe11G37220											
OG0034947	Ghe11G37400											
OG0034948	Ghe11G37590											
OG0034949	Ghe11G37610											
OG0034950	Ghe11G37940											
OG0034951	Ghe11G38040											
OG0034952	Ghe11G38050											
OG0034953	Ghe11G38200											
OG0034954	Ghe11G38440											
OG0034955	Ghe11G38610											
OG0034956	Ghe11G39160											
OG0034957	Ghe11G39810											
OG0034958	Ghe11G40360											
OG0034959	Ghe11G40370											
OG0034960	Ghe11G40400											
OG0034961	Ghe11G40410											
OG0034962	Ghe11G40600											
OG0034963	Ghe11G40610											
OG0034964	Ghe11G40990											
OG0034965	Ghe11G41140											
OG0034966	Ghe11G41990											
OG0034967	Ghe11G42110											
OG0034968	Ghe11G42600											
OG0034969	Ghe11G42820											
OG0034970	Ghe11G43070											
OG0034971	Ghe11G43320											
OG0034972	Ghe11G43720											
OG0034973	Ghe11G43850											
OG0034974	Ghe11G44040											
OG0034975	Ghe11G44380											
OG0034976	Ghe11G44390											
OG0034977	Ghe11G44770											
OG0034978	Ghe12G00800											
OG0034979	Ghe12G00900											
OG0034980	Ghe12G01500											
OG0034981	Ghe12G02300											
OG0034982	Ghe12G03600											
OG0034983	Ghe12G03990											
OG0034984	Ghe12G04330											
OG0034985	Ghe12G04880											
OG0034986	Ghe12G04910											
OG0034987	Ghe12G05140											
OG0034988	Ghe12G05170											
OG0034989	Ghe12G05670											
OG0034990	Ghe12G06750											
OG0034991	Ghe12G07190											
OG0034992	Ghe12G07580											
OG0034993	Ghe12G08220											
OG0034994	Ghe12G09300											
OG0034995	Ghe12G09410											
OG0034996	Ghe12G10050											
OG0034997	Ghe12G10080											
OG0034998	Ghe12G10090											
OG0034999	Ghe12G10170											
OG0035000	Ghe12G10430											
OG0035001	Ghe12G10600											
OG0035002	Ghe12G10640											
OG0035003	Ghe12G10650											
OG0035004	Ghe12G10950											
OG0035005	Ghe12G11050											
OG0035006	Ghe12G11300											
OG0035007	Ghe12G11810											
OG0035008	Ghe12G12020											
OG0035009	Ghe12G12550											
OG0035010	Ghe12G13060											
OG0035011	Ghe12G13470											
OG0035012	Ghe12G13830											
OG0035013	Ghe12G14050											
OG0035014	Ghe12G14690											
OG0035015	Ghe12G15260											
OG0035016	Ghe12G15390											
OG0035017	Ghe12G15660											
OG0035018	Ghe12G16040											
OG0035019	Ghe12G17910											
OG0035020	Ghe12G18080											
OG0035021	Ghe12G18110											
OG0035022	Ghe12G18340											
OG0035023	Ghe12G19210											
OG0035024	Ghe12G19290											
OG0035025	Ghe12G19480											
OG0035026	Ghe12G19690											
OG0035027	Ghe12G19830											
OG0035028	Ghe12G19890											
OG0035029	Ghe12G21200											
OG0035030	Ghe12G22590											
OG0035031	Ghe12G23600											
OG0035032	Ghe12G24420											
